Fecha;Tipo Producto;Exportaciones Tm
2005-12;GASOLINA  AUTO. S/PB 95 I.O.;107315
2005-12;GASOLINA  AUTO. S/PB 98 I.O.;3186
2005-12;OTRAS GASOLINAS;148391
2005-12;FUELÓLEO  BIA;0
2005-12;OTROS FUELÓLEOS;137184
2005-12;QUEROSENO AVIACIÓN;1544
2005-12;OTROS QUEROSENOS;53
2005-12;GLP;8831
2006-01;BIODIESEL;0
2006-01;GASÓLEO A;16226
2006-01;GASÓLEO B;41
2006-01;GASÓLEO C;132
2006-01;OTROS GASOLEOS;35829
2006-01;BIOETANOL;0
2006-01;GASOLINA  AUTO. S/PB 95 I.O.;129289
2006-01;GASOLINA  AUTO. S/PB 98 I.O.;47051
2006-01;OTRAS GASOLINAS;136418
2006-01;FUELÓLEO  BIA;0
2006-01;OTROS FUELÓLEOS;181634
2006-01;QUEROSENO AVIACIÓN;21133
2006-01;OTROS QUEROSENOS;77
2006-01;GLP;6512
2006-02;BIODIESEL;0
2006-02;GASÓLEO A;43307
2006-02;GASÓLEO B;3
2006-02;GASÓLEO C;106
2006-02;OTROS GASOLEOS;57895
2006-02;BIOETANOL;0
2006-02;GASOLINA  AUTO. S/PB 95 I.O.;69089
2006-02;GASOLINA  AUTO. S/PB 98 I.O.;16811
2006-02;OTRAS GASOLINAS;138764
2006-02;FUELÓLEO  BIA;0
2006-02;OTROS FUELÓLEOS;91171
2006-02;QUEROSENO AVIACIÓN;5000
2006-02;OTROS QUEROSENOS;53
2006-02;GLP;5762
2006-03;BIODIESEL;0
2006-03;GASÓLEO A;49064
2006-03;GASÓLEO B;39
2006-03;GASÓLEO C;78
2006-03;OTROS GASOLEOS;36881
2006-03;BIOETANOL;0
2006-03;GASOLINA  AUTO. S/PB 95 I.O.;169985
2006-03;GASOLINA  AUTO. S/PB 98 I.O.;59522
2006-03;OTRAS GASOLINAS;147669
2006-03;FUELÓLEO  BIA;0
2006-03;OTROS FUELÓLEOS;222677
2006-03;QUEROSENO AVIACIÓN;12556
2006-03;OTROS QUEROSENOS;104
2006-03;GLP;5830
2006-04;BIODIESEL;0
2006-04;GASÓLEO A;18186
2006-04;GASÓLEO B;0
2006-04;GASÓLEO C;80
2006-04;OTROS GASOLEOS;71346
2006-04;BIOETANOL;0
2006-04;GASOLINA  AUTO. S/PB 95 I.O.;72278
2006-04;GASOLINA  AUTO. S/PB 98 I.O.;20264
2006-04;OTRAS GASOLINAS;155131
2006-04;FUELÓLEO  BIA;0
2006-04;OTROS FUELÓLEOS;136832
2006-04;QUEROSENO AVIACIÓN;29582
2006-04;OTROS QUEROSENOS;52
2006-04;GLP;3329
2006-05;BIODIESEL;0
2006-05;GASÓLEO A;18779
2006-05;GASÓLEO B;0
2006-05;GASÓLEO C;0
2006-05;OTROS GASOLEOS;64639
2006-05;BIOETANOL;0
2006-05;GASOLINA  AUTO. S/PB 95 I.O.;119322
2006-05;GASOLINA  AUTO. S/PB 98 I.O.;14154
2006-05;OTRAS GASOLINAS;263118
2006-05;FUELÓLEO  BIA;0
2006-05;OTROS FUELÓLEOS;81768
2006-05;QUEROSENO AVIACIÓN;27180
2006-05;OTROS QUEROSENOS;312
2006-05;GLP;3349
2006-06;BIODIESEL;0
2006-06;GASÓLEO A;17647
2006-06;GASÓLEO B;5203
2006-06;GASÓLEO C;419
2006-06;OTROS GASOLEOS;22306
2006-06;BIOETANOL;0
2006-06;GASOLINA  AUTO. S/PB 95 I.O.;107970
2006-06;GASOLINA  AUTO. S/PB 98 I.O.;24504
2006-06;OTRAS GASOLINAS;203000
2006-06;FUELÓLEO  BIA;0
2006-06;OTROS FUELÓLEOS;130699
2006-06;QUEROSENO AVIACIÓN;8696
2006-06;OTROS QUEROSENOS;179
2006-06;GLP;6844
2006-07;BIODIESEL;0
2006-07;GASÓLEO A;10706
2006-07;GASÓLEO B;27347
2006-07;GASÓLEO C;80
2006-07;OTROS GASOLEOS;41091
2006-07;BIOETANOL;0
2006-07;GASOLINA  AUTO. S/PB 95 I.O.;95853
2006-07;GASOLINA  AUTO. S/PB 98 I.O.;17873
2006-07;OTRAS GASOLINAS;136152
2006-07;FUELÓLEO  BIA;0
2006-07;OTROS FUELÓLEOS;71788
2006-07;QUEROSENO AVIACIÓN;28826
2006-07;OTROS QUEROSENOS;129
2006-07;GLP;6391
2006-08;BIODIESEL;0
2006-08;GASÓLEO A;32017
2006-08;GASÓLEO B;27355
2006-08;GASÓLEO C;237
2006-08;OTROS GASOLEOS;52118
2006-08;BIOETANOL;0
2006-08;GASOLINA  AUTO. S/PB 95 I.O.;84456
2006-08;GASOLINA  AUTO. S/PB 98 I.O.;20628
2006-08;OTRAS GASOLINAS;167125
2006-08;FUELÓLEO  BIA;0
2006-08;OTROS FUELÓLEOS;115259
2006-08;QUEROSENO AVIACIÓN;23560
2006-08;OTROS QUEROSENOS;51
2006-08;GLP;2483
2006-09;BIODIESEL;0
2006-09;GASÓLEO A;12812
2006-09;GASÓLEO B;51387
2006-09;GASÓLEO C;6593
2006-09;OTROS GASOLEOS;63677
2006-09;BIOETANOL;0
2006-09;GASOLINA  AUTO. S/PB 95 I.O.;70586
2006-09;GASOLINA  AUTO. S/PB 98 I.O.;3707
2006-09;OTRAS GASOLINAS;149765
2006-09;FUELÓLEO  BIA;0
2006-09;OTROS FUELÓLEOS;140109
2006-09;QUEROSENO AVIACIÓN;3621
2006-09;OTROS QUEROSENOS;155
2006-09;GLP;2296
2006-10;BIODIESEL;0
2006-10;GASÓLEO A;45244
2006-10;GASÓLEO B;7841
2006-10;GASÓLEO C;133
2006-10;OTROS GASOLEOS;43398
2006-10;BIOETANOL;0
2006-10;GASOLINA  AUTO. S/PB 95 I.O.;105070
2006-10;GASOLINA  AUTO. S/PB 98 I.O.;14410
2006-10;OTRAS GASOLINAS;196325
2006-10;FUELÓLEO  BIA;0
2006-10;OTROS FUELÓLEOS;134892
2006-10;QUEROSENO AVIACIÓN;2766
2006-10;OTROS QUEROSENOS;52
2006-10;GLP;4118
2006-11;BIODIESEL;0
2006-11;GASÓLEO A;43794
2006-11;GASÓLEO B;4066
2006-11;GASÓLEO C;27
2006-11;OTROS GASOLEOS;73477
2006-11;BIOETANOL;0
2006-11;GASOLINA  AUTO. S/PB 95 I.O.;115827
2006-11;GASOLINA  AUTO. S/PB 98 I.O.;8062
2006-11;OTRAS GASOLINAS;138736
2006-11;FUELÓLEO  BIA;0
2006-11;OTROS FUELÓLEOS;66015
2006-11;QUEROSENO AVIACIÓN;1676
2006-11;OTROS QUEROSENOS;26
2006-11;GLP;4683
2006-12;BIODIESEL;0
2006-12;GASÓLEO A;26345
2006-12;GASÓLEO B;30687
2006-12;GASÓLEO C;0
2006-12;OTROS GASOLEOS;36343
2006-12;BIOETANOL;0
2006-12;GASOLINA  AUTO. S/PB 95 I.O.;133979
2006-12;GASOLINA  AUTO. S/PB 98 I.O.;13578
2006-12;OTRAS GASOLINAS;176526
2006-12;FUELÓLEO  BIA;0
2006-12;OTROS FUELÓLEOS;206046
2006-12;QUEROSENO AVIACIÓN;5093
2006-12;OTROS QUEROSENOS;26
2006-12;GLP;8221
2007-01;BIODIESEL;3984
2007-01;GASÓLEO A;52040
2007-01;GASÓLEO B;55
2007-01;GASÓLEO C;27
2007-01;OTROS GASOLEOS;42090
2007-01;BIOETANOL;0
2007-01;GASOLINA  AUTO. S/PB 95 I.O.;68139
2007-01;GASOLINA  AUTO. S/PB 98 I.O.;14606
2007-01;OTRAS GASOLINAS;246118
2007-01;FUELÓLEO  BIA;33355
2007-01;OTROS FUELÓLEOS;122008
2007-01;QUEROSENO AVIACIÓN;5632
